condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
baseline,1,0.0,F1,0.71,1.0,0.0
soft_weighting,1,0.0,F1,0.71,1.0,0.0
hard_only,1,0.0,F1,0.71,1.0,0.1
full_system,1,0.0,F1,0.71,1.0,0.1
baseline,1,0.0,F2,0.71,1.0,0.0
soft_weighting,1,0.0,F2,0.71,1.0,0.0
hard_only,1,0.0,F2,0.71,1.0,0.1
full_system,1,0.0,F2,0.71,1.0,0.1
baseline,1,0.0,F3,0.71,1.0,0.0
soft_weighting,1,0.0,F3,0.71,1.0,0.0
hard_only,1,0.0,F3,0.71,1.0,0.1
full_system,1,0.0,F3,0.71,1.0,0.1
baseline,1,0.0,mix,0.71,1.0,0.0
soft_weighting,1,0.0,mix,0.71,1.0,0.0
hard_only,1,0.0,mix,0.71,1.0,0.1
full_system,1,0.0,mix,0.71,1.0,0.1
baseline,1,0.15,F1,0.71,1.0,0.0
soft_weighting,1,0.15,F1,0.71,1.0,0.0
hard_only,1,0.15,F1,0.71,1.0,0.1
full_system,1,0.15,F1,0.71,1.0,0.1
baseline,1,0.15,F2,0.71,1.0,0.0
soft_weighting,1,0.15,F2,0.71,1.0,0.0
hard_only,1,0.15,F2,0.71,1.0,0.1
full_system,1,0.15,F2,0.71,1.0,0.1
baseline,1,0.15,F3,0.71,1.0,0.0
soft_weighting,1,0.15,F3,0.71,1.0,0.0
hard_only,1,0.15,F3,0.71,1.0,0.1
full_system,1,0.15,F3,0.71,1.0,0.1
baseline,1,0.15,mix,0.71,1.0,0.0
soft_weighting,1,0.15,mix,0.71,1.0,0.0
hard_only,1,0.15,mix,0.71,1.0,0.1
full_system,1,0.15,mix,0.71,1.0,0.1
baseline,1,0.3,F1,0.71,1.0,0.0
soft_weighting,1,0.3,F1,0.71,1.0,0.0
hard_only,1,0.3,F1,0.71,1.0,0.1
full_system,1,0.3,F1,0.71,1.0,0.1
baseline,1,0.3,F2,0.71,1.0,0.0
soft_weighting,1,0.3,F2,0.71,1.0,0.0
hard_only,1,0.3,F2,0.71,1.0,0.1
full_system,1,0.3,F2,0.71,1.0,0.1
baseline,1,0.3,F3,0.71,1.0,0.0
soft_weighting,1,0.3,F3,0.71,1.0,0.0
hard_only,1,0.3,F3,0.71,1.0,0.1
full_system,1,0.3,F3,0.71,1.0,0.1
baseline,1,0.3,mix,0.71,1.0,0.0
soft_weighting,1,0.3,mix,0.71,1.0,0.0
hard_only,1,0.3,mix,0.71,1.0,0.1
full_system,1,0.3,mix,0.71,1.0,0.1
baseline,1,0.45,F1,0.71,1.0,0.0
soft_weighting,1,0.45,F1,0.71,1.0,0.0
hard_only,1,0.45,F1,0.71,1.0,0.1
full_system,1,0.45,F1,0.71,1.0,0.1
baseline,1,0.45,F2,0.71,1.0,0.0
soft_weighting,1,0.45,F2,0.71,1.0,0.0
hard_only,1,0.45,F2,0.71,1.0,0.1
full_system,1,0.45,F2,0.71,1.0,0.1
baseline,1,0.45,F3,0.71,1.0,0.0
soft_weighting,1,0.45,F3,0.71,1.0,0.0
hard_only,1,0.45,F3,0.71,1.0,0.1
full_system,1,0.45,F3,0.71,1.0,0.1
baseline,1,0.45,mix,0.71,1.0,0.0
soft_weighting,1,0.45,mix,0.71,1.0,0.0
hard_only,1,0.45,mix,0.71,1.0,0.1
full_system,1,0.45,mix,0.71,1.0,0.1
