condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
baseline,1,0.0,F1,0.7125,1.0,0.0
soft_weighting,1,0.0,F1,0.7125,1.0,0.0
hard_only,1,0.0,F1,0.7125,1.0,0.05
full_system,1,0.0,F1,0.7125,1.0,0.05
baseline,1,0.0,F2,0.7125,1.0,0.0
soft_weighting,1,0.0,F2,0.7125,1.0,0.0
hard_only,1,0.0,F2,0.7125,1.0,0.05
full_system,1,0.0,F2,0.7125,1.0,0.05
baseline,1,0.0,F3,0.7125,1.0,0.0
soft_weighting,1,0.0,F3,0.7125,1.0,0.0
hard_only,1,0.0,F3,0.7125,1.0,0.05
full_system,1,0.0,F3,0.7125,1.0,0.05
baseline,1,0.0,mix,0.7125,1.0,0.0
soft_weighting,1,0.0,mix,0.7125,1.0,0.0
hard_only,1,0.0,mix,0.7125,1.0,0.05
full_system,1,0.0,mix,0.7125,1.0,0.05
baseline,1,0.15,F1,0.7125,1.0,0.0
soft_weighting,1,0.15,F1,0.7125,1.0,0.0
hard_only,1,0.15,F1,0.7125,1.0,0.05
full_system,1,0.15,F1,0.7125,1.0,0.05
baseline,1,0.15,F2,0.7125,1.0,0.0
soft_weighting,1,0.15,F2,0.7125,1.0,0.0
hard_only,1,0.15,F2,0.7125,1.0,0.05
full_system,1,0.15,F2,0.7125,1.0,0.05
baseline,1,0.15,F3,0.7125,1.0,0.0
soft_weighting,1,0.15,F3,0.7125,1.0,0.0
hard_only,1,0.15,F3,0.7125,1.0,0.05
full_system,1,0.15,F3,0.7125,1.0,0.05
baseline,1,0.15,mix,0.7125,1.0,0.0
soft_weighting,1,0.15,mix,0.7125,1.0,0.0
hard_only,1,0.15,mix,0.7125,1.0,0.05
full_system,1,0.15,mix,0.7125,1.0,0.05
baseline,1,0.3,F1,0.7125,1.0,0.0
soft_weighting,1,0.3,F1,0.7125,1.0,0.0
hard_only,1,0.3,F1,0.7125,1.0,0.05
full_system,1,0.3,F1,0.7125,1.0,0.05
baseline,1,0.3,F2,0.7125,1.0,0.0
soft_weighting,1,0.3,F2,0.7125,1.0,0.0
hard_only,1,0.3,F2,0.7125,1.0,0.05
full_system,1,0.3,F2,0.7125,1.0,0.05
baseline,1,0.3,F3,0.7125,1.0,0.0
soft_weighting,1,0.3,F3,0.7125,1.0,0.0
hard_only,1,0.3,F3,0.7125,1.0,0.05
full_system,1,0.3,F3,0.7125,1.0,0.05
baseline,1,0.3,mix,0.7125,1.0,0.0
soft_weighting,1,0.3,mix,0.7125,1.0,0.0
hard_only,1,0.3,mix,0.7125,1.0,0.05
full_system,1,0.3,mix,0.7125,1.0,0.05
baseline,1,0.45,F1,0.7125,1.0,0.0
soft_weighting,1,0.45,F1,0.7125,1.0,0.0
hard_only,1,0.45,F1,0.7125,1.0,0.05
full_system,1,0.45,F1,0.7125,1.0,0.05
baseline,1,0.45,F2,0.7125,1.0,0.0
soft_weighting,1,0.45,F2,0.7125,1.0,0.0
hard_only,1,0.45,F2,0.7125,1.0,0.05
full_system,1,0.45,F2,0.7125,1.0,0.05
baseline,1,0.45,F3,0.7125,1.0,0.0
soft_weighting,1,0.45,F3,0.7125,1.0,0.0
hard_only,1,0.45,F3,0.7125,1.0,0.05
full_system,1,0.45,F3,0.7125,1.0,0.05
baseline,1,0.45,mix,0.7125,1.0,0.0
soft_weighting,1,0.45,mix,0.7125,1.0,0.0
hard_only,1,0.45,mix,0.7125,1.0,0.05
full_system,1,0.45,mix,0.7125,1.0,0.05
baseline,5,0.0,F1,0.7625,1.0,0.0
soft_weighting,5,0.0,F1,0.725,1.0,0.0
hard_only,5,0.0,F1,0.75,0.9775,0.0375
full_system,5,0.0,F1,0.725,0.9775,0.0375
baseline,5,0.0,F2,0.7625,1.0,0.0
soft_weighting,5,0.0,F2,0.725,1.0,0.0
hard_only,5,0.0,F2,0.75,0.9775,0.0375
full_system,5,0.0,F2,0.725,0.9775,0.0375
baseline,5,0.0,F3,0.7625,1.0,0.0
soft_weighting,5,0.0,F3,0.725,1.0,0.0
hard_only,5,0.0,F3,0.75,0.9775,0.0375
full_system,5,0.0,F3,0.725,0.9775,0.0375
baseline,5,0.0,mix,0.7625,1.0,0.0
soft_weighting,5,0.0,mix,0.725,1.0,0.0
hard_only,5,0.0,mix,0.75,0.9775,0.0375
full_system,5,0.0,mix,0.725,0.9775,0.0375
baseline,5,0.15,F1,0.7625,1.0,0.0
soft_weighting,5,0.15,F1,0.725,1.0,0.0
hard_only,5,0.15,F1,0.75,0.9775,0.0375
full_system,5,0.15,F1,0.725,0.9775,0.0375
baseline,5,0.15,F2,0.7625,1.0,0.0
soft_weighting,5,0.15,F2,0.725,1.0,0.0
hard_only,5,0.15,F2,0.75,0.9775,0.0375
full_system,5,0.15,F2,0.725,0.9775,0.0375
baseline,5,0.15,F3,0.7625,1.0,0.0
soft_weighting,5,0.15,F3,0.725,1.0,0.0
hard_only,5,0.15,F3,0.75,0.9775,0.0375
full_system,5,0.15,F3,0.725,0.9775,0.0375
baseline,5,0.15,mix,0.7625,1.0,0.0
soft_weighting,5,0.15,mix,0.725,1.0,0.0
hard_only,5,0.15,mix,0.75,0.9775,0.0375
full_system,5,0.15,mix,0.725,0.9775,0.0375
baseline,5,0.3,F1,0.7375,1.0,0.0
soft_weighting,5,0.3,F1,0.725,1.0,0.0
hard_only,5,0.3,F1,0.7375,0.8049999999999999,0.0625
full_system,5,0.3,F1,0.725,0.8049999999999999,0.0625
baseline,5,0.3,F2,0.7375,1.0,0.0
soft_weighting,5,0.3,F2,0.7125,1.0,0.0
hard_only,5,0.3,F2,0.75,0.9775,0.025
full_system,5,0.3,F2,0.7125,0.9775,0.025
baseline,5,0.3,F3,0.7375,1.0,0.0
soft_weighting,5,0.3,F3,0.725,1.0,0.0
hard_only,5,0.3,F3,0.7375,0.8049999999999999,0.0625
full_system,5,0.3,F3,0.725,0.8049999999999999,0.0625
baseline,5,0.3,mix,0.7375,1.0,0.0
soft_weighting,5,0.3,mix,0.725,1.0,0.0
hard_only,5,0.3,mix,0.7375,0.8049999999999999,0.0625
full_system,5,0.3,mix,0.725,0.8049999999999999,0.0625
baseline,5,0.45,F1,0.7375,1.0,0.0
soft_weighting,5,0.45,F1,0.7,1.0,0.0
hard_only,5,0.45,F1,0.7375,0.6399999999999999,0.1
full_system,5,0.45,F1,0.675,0.6399999999999999,0.1
baseline,5,0.45,F2,0.7375,1.0,0.0
soft_weighting,5,0.45,F2,0.625,1.0,0.0
hard_only,5,0.45,F2,0.7375,0.975,0.0125
full_system,5,0.45,F2,0.5875,0.975,0.0125
baseline,5,0.45,F3,0.6375,1.0,0.0
soft_weighting,5,0.45,F3,0.7,1.0,0.0
hard_only,5,0.45,F3,0.7375,0.6399999999999999,0.1
full_system,5,0.45,F3,0.6875,0.6399999999999999,0.1
baseline,5,0.45,mix,0.7,1.0,0.0
soft_weighting,5,0.45,mix,0.7,1.0,0.0
hard_only,5,0.45,mix,0.7375,0.7999999999999999,0.05
full_system,5,0.45,mix,0.6875,0.7999999999999999,0.05
baseline,7,0.0,F1,0.75,1.0,0.0
