condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
baseline,5,0.0,F1,0.69,1.0,0.0
soft_weighting,5,0.0,F1,0.66,1.0,0.0
hard_only,5,0.0,F1,0.69,0.964,0.08
full_system,5,0.0,F1,0.66,0.964,0.08
baseline,5,0.0,F2,0.69,1.0,0.0
soft_weighting,5,0.0,F2,0.66,1.0,0.0
hard_only,5,0.0,F2,0.69,0.964,0.08
full_system,5,0.0,F2,0.66,0.964,0.08
baseline,5,0.0,F3,0.69,1.0,0.0
soft_weighting,5,0.0,F3,0.66,1.0,0.0
hard_only,5,0.0,F3,0.69,0.964,0.08
full_system,5,0.0,F3,0.66,0.964,0.08
baseline,5,0.0,mix,0.69,1.0,0.0
soft_weighting,5,0.0,mix,0.66,1.0,0.0
hard_only,5,0.0,mix,0.69,0.964,0.08
full_system,5,0.0,mix,0.66,0.964,0.08
baseline,5,0.15,F1,0.69,1.0,0.0
soft_weighting,5,0.15,F1,0.66,1.0,0.0
hard_only,5,0.15,F1,0.69,0.964,0.08
full_system,5,0.15,F1,0.66,0.964,0.08
baseline,5,0.15,F2,0.69,1.0,0.0
soft_weighting,5,0.15,F2,0.66,1.0,0.0
hard_only,5,0.15,F2,0.69,0.964,0.08
full_system,5,0.15,F2,0.66,0.964,0.08
baseline,5,0.15,F3,0.69,1.0,0.0
soft_weighting,5,0.15,F3,0.66,1.0,0.0
hard_only,5,0.15,F3,0.69,0.964,0.08
full_system,5,0.15,F3,0.66,0.964,0.08
baseline,5,0.15,mix,0.69,1.0,0.0
soft_weighting,5,0.15,mix,0.66,1.0,0.0
hard_only,5,0.15,mix,0.69,0.964,0.08
full_system,5,0.15,mix,0.66,0.964,0.08
baseline,5,0.3,F1,0.01,1.0,0.0
soft_weighting,5,0.3,F1,0.67,1.0,0.0
hard_only,5,0.3,F1,0.61,0.7999999999999997,0.1
full_system,5,0.3,F1,0.67,0.7999999999999997,0.1
baseline,5,0.3,F2,0.01,1.0,0.0
soft_weighting,5,0.3,F2,0.0,1.0,0.0
hard_only,5,0.3,F2,0.01,0.968,0.07
full_system,5,0.3,F2,0.67,0.968,0.07
baseline,5,0.3,F3,0.01,1.0,0.0
soft_weighting,5,0.3,F3,0.67,1.0,0.0
hard_only,5,0.3,F3,0.61,0.7999999999999997,0.1
full_system,5,0.3,F3,0.67,0.7999999999999997,0.1
baseline,5,0.3,mix,0.01,1.0,0.0
soft_weighting,5,0.3,mix,0.67,1.0,0.0
hard_only,5,0.3,mix,0.61,0.7999999999999997,0.1
full_system,5,0.3,mix,0.67,0.7999999999999997,0.1
baseline,5,0.45,F1,0.0,1.0,0.0
soft_weighting,5,0.45,F1,0.69,1.0,0.0
hard_only,5,0.45,F1,0.58,0.6679999999999998,0.17
full_system,5,0.45,F1,0.69,0.6679999999999998,0.17
baseline,5,0.45,F2,0.0,1.0,0.0
soft_weighting,5,0.45,F2,0.0,1.0,0.0
hard_only,5,0.45,F2,0.0,0.9619999999999999,0.04
full_system,5,0.45,F2,0.63,0.9619999999999999,0.04
baseline,5,0.45,F3,0.0,1.0,0.0
soft_weighting,5,0.45,F3,0.69,1.0,0.0
hard_only,5,0.45,F3,0.58,0.6679999999999998,0.17
full_system,5,0.45,F3,0.69,0.6679999999999998,0.17
baseline,5,0.45,mix,0.01,1.0,0.0
soft_weighting,5,0.45,mix,0.0,1.0,0.0
hard_only,5,0.45,mix,0.61,0.8059999999999996,0.1
full_system,5,0.45,mix,0.69,0.8059999999999996,0.1
baseline,7,0.0,F1,0.69,1.0,0.0
soft_weighting,7,0.0,F1,0.66,1.0,0.0
hard_only,7,0.0,F1,0.69,0.9685714285714284,0.09
full_system,7,0.0,F1,0.66,0.9685714285714284,0.09
baseline,7,0.0,F2,0.69,1.0,0.0
soft_weighting,7,0.0,F2,0.66,1.0,0.0
hard_only,7,0.0,F2,0.69,0.9685714285714284,0.09
full_system,7,0.0,F2,0.66,0.9685714285714284,0.09
baseline,7,0.0,F3,0.69,1.0,0.0
soft_weighting,7,0.0,F3,0.66,1.0,0.0
hard_only,7,0.0,F3,0.69,0.9685714285714284,0.09
full_system,7,0.0,F3,0.66,0.9685714285714284,0.09
baseline,7,0.0,mix,0.69,1.0,0.0
soft_weighting,7,0.0,mix,0.66,1.0,0.0
hard_only,7,0.0,mix,0.69,0.9685714285714284,0.09
full_system,7,0.0,mix,0.66,0.9685714285714284,0.09
baseline,7,0.15,F1,0.69,1.0,0.0
soft_weighting,7,0.15,F1,0.67,1.0,0.0
hard_only,7,0.15,F1,0.69,0.8585714285714284,0.12
