condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
baseline,1,0.0,F1,0.675,1.0,0.0
soft_weighting,1,0.0,F1,0.675,1.0,0.0
hard_only,1,0.0,F1,0.675,1.0,0.1125
full_system,1,0.0,F1,0.675,1.0,0.1125
baseline,1,0.0,F2,0.675,1.0,0.0
soft_weighting,1,0.0,F2,0.675,1.0,0.0
hard_only,1,0.0,F2,0.675,1.0,0.1125
full_system,1,0.0,F2,0.675,1.0,0.1125
baseline,1,0.0,F3,0.675,1.0,0.0
soft_weighting,1,0.0,F3,0.675,1.0,0.0
hard_only,1,0.0,F3,0.675,1.0,0.1125
full_system,1,0.0,F3,0.675,1.0,0.1125
baseline,1,0.0,mix,0.675,1.0,0.0
soft_weighting,1,0.0,mix,0.675,1.0,0.0
hard_only,1,0.0,mix,0.675,1.0,0.1125
full_system,1,0.0,mix,0.675,1.0,0.1125
baseline,1,0.15,F1,0.675,1.0,0.0
soft_weighting,1,0.15,F1,0.675,1.0,0.0
hard_only,1,0.15,F1,0.675,1.0,0.1125
full_system,1,0.15,F1,0.675,1.0,0.1125
baseline,1,0.15,F2,0.675,1.0,0.0
soft_weighting,1,0.15,F2,0.675,1.0,0.0
hard_only,1,0.15,F2,0.675,1.0,0.1125
full_system,1,0.15,F2,0.675,1.0,0.1125
baseline,1,0.15,F3,0.675,1.0,0.0
soft_weighting,1,0.15,F3,0.675,1.0,0.0
hard_only,1,0.15,F3,0.675,1.0,0.1125
full_system,1,0.15,F3,0.675,1.0,0.1125
baseline,1,0.15,mix,0.675,1.0,0.0
soft_weighting,1,0.15,mix,0.675,1.0,0.0
hard_only,1,0.15,mix,0.675,1.0,0.1125
full_system,1,0.15,mix,0.675,1.0,0.1125
baseline,1,0.3,F1,0.675,1.0,0.0
soft_weighting,1,0.3,F1,0.675,1.0,0.0
hard_only,1,0.3,F1,0.675,1.0,0.1125
full_system,1,0.3,F1,0.675,1.0,0.1125
baseline,1,0.3,F2,0.675,1.0,0.0
soft_weighting,1,0.3,F2,0.675,1.0,0.0
hard_only,1,0.3,F2,0.675,1.0,0.1125
full_system,1,0.3,F2,0.675,1.0,0.1125
baseline,1,0.3,F3,0.675,1.0,0.0
soft_weighting,1,0.3,F3,0.675,1.0,0.0
hard_only,1,0.3,F3,0.675,1.0,0.1125
full_system,1,0.3,F3,0.675,1.0,0.1125
baseline,1,0.3,mix,0.675,1.0,0.0
soft_weighting,1,0.3,mix,0.675,1.0,0.0
hard_only,1,0.3,mix,0.675,1.0,0.1125
full_system,1,0.3,mix,0.675,1.0,0.1125
baseline,1,0.45,F1,0.675,1.0,0.0
soft_weighting,1,0.45,F1,0.675,1.0,0.0
hard_only,1,0.45,F1,0.675,1.0,0.1125
full_system,1,0.45,F1,0.675,1.0,0.1125
baseline,1,0.45,F2,0.675,1.0,0.0
soft_weighting,1,0.45,F2,0.675,1.0,0.0
hard_only,1,0.45,F2,0.675,1.0,0.1125
full_system,1,0.45,F2,0.675,1.0,0.1125
baseline,1,0.45,F3,0.675,1.0,0.0
soft_weighting,1,0.45,F3,0.675,1.0,0.0
hard_only,1,0.45,F3,0.675,1.0,0.1125
full_system,1,0.45,F3,0.675,1.0,0.1125
baseline,1,0.45,mix,0.675,1.0,0.0
soft_weighting,1,0.45,mix,0.675,1.0,0.0
hard_only,1,0.45,mix,0.675,1.0,0.1125
full_system,1,0.45,mix,0.675,1.0,0.1125
baseline,5,0.0,F1,0.6625,1.0,0.0
soft_weighting,5,0.0,F1,0.65,1.0,0.0
hard_only,5,0.0,F1,0.6625,0.95,0.0875
full_system,5,0.0,F1,0.65,0.95,0.0875
baseline,5,0.0,F2,0.6625,1.0,0.0
soft_weighting,5,0.0,F2,0.65,1.0,0.0
hard_only,5,0.0,F2,0.6625,0.95,0.0875
full_system,5,0.0,F2,0.65,0.95,0.0875
baseline,5,0.0,F3,0.6625,1.0,0.0
soft_weighting,5,0.0,F3,0.65,1.0,0.0
hard_only,5,0.0,F3,0.6625,0.95,0.0875
full_system,5,0.0,F3,0.65,0.95,0.0875
baseline,5,0.0,mix,0.6625,1.0,0.0
soft_weighting,5,0.0,mix,0.65,1.0,0.0
hard_only,5,0.0,mix,0.6625,0.95,0.0875
full_system,5,0.0,mix,0.65,0.95,0.0875
baseline,5,0.15,F1,0.6625,1.0,0.0
soft_weighting,5,0.15,F1,0.65,1.0,0.0
hard_only,5,0.15,F1,0.6625,0.95,0.0875
full_system,5,0.15,F1,0.65,0.95,0.0875
baseline,5,0.15,F2,0.6625,1.0,0.0
soft_weighting,5,0.15,F2,0.65,1.0,0.0
hard_only,5,0.15,F2,0.6625,0.95,0.0875
full_system,5,0.15,F2,0.65,0.95,0.0875
baseline,5,0.15,F3,0.6625,1.0,0.0
soft_weighting,5,0.15,F3,0.65,1.0,0.0
hard_only,5,0.15,F3,0.6625,0.95,0.0875
full_system,5,0.15,F3,0.65,0.95,0.0875
baseline,5,0.15,mix,0.6625,1.0,0.0
soft_weighting,5,0.15,mix,0.65,1.0,0.0
hard_only,5,0.15,mix,0.6625,0.95,0.0875
full_system,5,0.15,mix,0.65,0.95,0.0875
baseline,5,0.3,F1,0.6625,1.0,0.0
soft_weighting,5,0.3,F1,0.65,1.0,0.0
hard_only,5,0.3,F1,0.675,0.8074999999999999,0.1375
full_system,5,0.3,F1,0.65,0.8074999999999999,0.1375
baseline,5,0.3,F2,0.675,1.0,0.0
soft_weighting,5,0.3,F2,0.65,1.0,0.0
hard_only,5,0.3,F2,0.675,0.9550000000000001,0.075
full_system,5,0.3,F2,0.65,0.9550000000000001,0.075
baseline,5,0.3,F3,0.6625,1.0,0.0
soft_weighting,5,0.3,F3,0.65,1.0,0.0
hard_only,5,0.3,F3,0.675,0.8074999999999999,0.1375
full_system,5,0.3,F3,0.65,0.8074999999999999,0.1375
baseline,5,0.3,mix,0.6625,1.0,0.0
soft_weighting,5,0.3,mix,0.65,1.0,0.0
hard_only,5,0.3,mix,0.675,0.8074999999999999,0.1375
full_system,5,0.3,mix,0.65,0.8074999999999999,0.1375
baseline,5,0.45,F1,0.6125,1.0,0.0
soft_weighting,5,0.45,F1,0.675,1.0,0.0
hard_only,5,0.45,F1,0.6625,0.6849999999999998,0.2125
full_system,5,0.45,F1,0.675,0.6849999999999998,0.2125
baseline,5,0.45,F2,0.6125,1.0,0.0
soft_weighting,5,0.45,F2,0.675,1.0,0.0
hard_only,5,0.45,F2,0.5375,0.96,0.05
full_system,5,0.45,F2,0.6,0.96,0.05
baseline,5,0.45,F3,0.6125,1.0,0.0
soft_weighting,5,0.45,F3,0.675,1.0,0.0
hard_only,5,0.45,F3,0.6625,0.6849999999999998,0.2125
full_system,5,0.45,F3,0.675,0.6849999999999998,0.2125
baseline,5,0.45,mix,0.6625,1.0,0.0
soft_weighting,5,0.45,mix,0.675,1.0,0.0
hard_only,5,0.45,mix,0.6625,0.7924999999999999,0.0875
full_system,5,0.45,mix,0.675,0.7924999999999999,0.0875
baseline,7,0.0,F1,0.675,1.0,0.0
soft_weighting,7,0.0,F1,0.65,1.0,0.0
hard_only,7,0.0,F1,0.675,0.9714285714285715,0.1375
full_system,7,0.0,F1,0.65,0.9714285714285715,0.1375
baseline,7,0.0,F2,0.675,1.0,0.0
soft_weighting,7,0.0,F2,0.65,1.0,0.0
hard_only,7,0.0,F2,0.675,0.9714285714285715,0.1375
full_system,7,0.0,F2,0.65,0.9714285714285715,0.1375
baseline,7,0.0,F3,0.675,1.0,0.0
soft_weighting,7,0.0,F3,0.65,1.0,0.0
hard_only,7,0.0,F3,0.675,0.9714285714285715,0.1375
full_system,7,0.0,F3,0.65,0.9714285714285715,0.1375
baseline,7,0.0,mix,0.675,1.0,0.0
soft_weighting,7,0.0,mix,0.65,1.0,0.0
hard_only,7,0.0,mix,0.675,0.9714285714285715,0.1375
full_system,7,0.0,mix,0.65,0.9714285714285715,0.1375
baseline,7,0.15,F1,0.6625,1.0,0.0
soft_weighting,7,0.15,F1,0.65,1.0,0.0
hard_only,7,0.15,F1,0.6625,0.875,0.1875
full_system,7,0.15,F1,0.65,0.875,0.1875
baseline,7,0.15,F2,0.6625,1.0,0.0
soft_weighting,7,0.15,F2,0.65,1.0,0.0
hard_only,7,0.15,F2,0.6625,0.9660714285714287,0.1
full_system,7,0.15,F2,0.65,0.9660714285714287,0.1
baseline,7,0.15,F3,0.6625,1.0,0.0
soft_weighting,7,0.15,F3,0.65,1.0,0.0
hard_only,7,0.15,F3,0.6625,0.875,0.1875
full_system,7,0.15,F3,0.65,0.875,0.1875
baseline,7,0.15,mix,0.6625,1.0,0.0
soft_weighting,7,0.15,mix,0.65,1.0,0.0
hard_only,7,0.15,mix,0.6625,0.875,0.1875
full_system,7,0.15,mix,0.65,0.875,0.1875
baseline,7,0.3,F1,0.6625,1.0,0.0
soft_weighting,7,0.3,F1,0.6375,1.0,0.0
hard_only,7,0.3,F1,0.675,0.7821428571428573,0.2375
full_system,7,0.3,F1,0.6375,0.7821428571428573,0.2375
baseline,7,0.3,F2,0.675,1.0,0.0
soft_weighting,7,0.3,F2,0.6375,1.0,0.0
hard_only,7,0.3,F2,0.675,0.9696428571428571,0.0875
full_system,7,0.3,F2,0.6375,0.9696428571428571,0.0875
baseline,7,0.3,F3,0.6625,1.0,0.0
soft_weighting,7,0.3,F3,0.6375,1.0,0.0
hard_only,7,0.3,F3,0.675,0.7821428571428573,0.2375
full_system,7,0.3,F3,0.6375,0.7821428571428573,0.2375
baseline,7,0.3,mix,0.6625,1.0,0.0
soft_weighting,7,0.3,mix,0.6375,1.0,0.0
hard_only,7,0.3,mix,0.675,0.7821428571428573,0.2375
full_system,7,0.3,mix,0.6375,0.7821428571428573,0.2375
baseline,7,0.45,F1,0.575,1.0,0.0
soft_weighting,7,0.45,F1,0.65,1.0,0.0
hard_only,7,0.45,F1,0.575,1.0,1.0
full_system,7,0.45,F1,0.6625,1.0,1.0
baseline,7,0.45,F2,0.575,1.0,0.0
soft_weighting,7,0.45,F2,0.65,1.0,0.0
hard_only,7,0.45,F2,0.5125,0.9678571428571427,0.075
full_system,7,0.45,F2,0.5875,0.9678571428571427,0.075
baseline,7,0.45,F3,0.575,1.0,0.0
soft_weighting,7,0.45,F3,0.65,1.0,0.0
hard_only,7,0.45,F3,0.575,1.0,1.0
full_system,7,0.45,F3,0.6375,1.0,1.0
baseline,7,0.45,mix,0.6375,1.0,0.0
soft_weighting,7,0.45,mix,0.65,1.0,0.0
hard_only,7,0.45,mix,0.675,0.7821428571428573,0.2375
full_system,7,0.45,mix,0.65,0.7821428571428573,0.2375
