condition,n_agents,beta,fault_type,accuracy,admission_rate,fallback_frequency
baseline,5,0.0,F1,1.0,1.0,0.0
soft_weighting,5,0.0,F1,1.0,1.0,0.0
hard_only,5,0.0,F1,1.0,0.9333333333333332,0.0
full_system,5,0.0,F1,1.0,0.9333333333333332,0.0
baseline,5,0.0,F2,1.0,1.0,0.0
soft_weighting,5,0.0,F2,1.0,1.0,0.0
hard_only,5,0.0,F2,1.0,0.9333333333333332,0.0
full_system,5,0.0,F2,1.0,0.9333333333333332,0.0
baseline,5,0.0,F3,1.0,1.0,0.0
soft_weighting,5,0.0,F3,1.0,1.0,0.0
hard_only,5,0.0,F3,1.0,0.9333333333333332,0.0
full_system,5,0.0,F3,1.0,0.9333333333333332,0.0
baseline,5,0.0,mix,1.0,1.0,0.0
soft_weighting,5,0.0,mix,1.0,1.0,0.0
hard_only,5,0.0,mix,1.0,0.9333333333333332,0.0
full_system,5,0.0,mix,1.0,0.9333333333333332,0.0
baseline,5,0.15,F1,1.0,1.0,0.0
soft_weighting,5,0.15,F1,1.0,1.0,0.0
hard_only,5,0.15,F1,1.0,0.9333333333333332,0.0
full_system,5,0.15,F1,1.0,0.9333333333333332,0.0
baseline,5,0.15,F2,1.0,1.0,0.0
soft_weighting,5,0.15,F2,1.0,1.0,0.0
hard_only,5,0.15,F2,1.0,0.9333333333333332,0.0
full_system,5,0.15,F2,1.0,0.9333333333333332,0.0
baseline,5,0.15,F3,1.0,1.0,0.0
soft_weighting,5,0.15,F3,1.0,1.0,0.0
hard_only,5,0.15,F3,1.0,0.9333333333333332,0.0
full_system,5,0.15,F3,1.0,0.9333333333333332,0.0
baseline,5,0.15,mix,1.0,1.0,0.0
soft_weighting,5,0.15,mix,1.0,1.0,0.0
hard_only,5,0.15,mix,1.0,0.9333333333333332,0.0
full_system,5,0.15,mix,1.0,0.9333333333333332,0.0
baseline,5,0.3,F1,1.0,1.0,0.0
soft_weighting,5,0.3,F1,1.0,1.0,0.0
hard_only,5,0.3,F1,1.0,0.7333333333333334,0.0
full_system,5,0.3,F1,1.0,0.7333333333333334,0.0
baseline,5,0.3,F2,1.0,1.0,0.0
soft_weighting,5,0.3,F2,1.0,1.0,0.0
hard_only,5,0.3,F2,0.6666666666666666,0.9333333333333332,0.0
full_system,5,0.3,F2,1.0,0.9333333333333332,0.0
baseline,5,0.3,F3,1.0,1.0,0.0
soft_weighting,5,0.3,F3,1.0,1.0,0.0
hard_only,5,0.3,F3,1.0,0.7333333333333334,0.0
full_system,5,0.3,F3,1.0,0.7333333333333334,0.0
baseline,5,0.3,mix,1.0,1.0,0.0
soft_weighting,5,0.3,mix,1.0,1.0,0.0
hard_only,5,0.3,mix,1.0,0.7333333333333334,0.0
full_system,5,0.3,mix,1.0,0.7333333333333334,0.0
baseline,5,0.45,F1,0.6666666666666666,1.0,0.0
soft_weighting,5,0.45,F1,1.0,1.0,0.0
hard_only,5,0.45,F1,0.6666666666666666,0.7333333333333334,0.3333333333333333
full_system,5,0.45,F1,1.0,0.7333333333333334,0.3333333333333333
baseline,5,0.45,F2,0.6666666666666666,1.0,0.0
soft_weighting,5,0.45,F2,1.0,1.0,0.0
hard_only,5,0.45,F2,0.6666666666666666,0.9333333333333332,0.0
full_system,5,0.45,F2,0.6666666666666666,0.9333333333333332,0.0
baseline,5,0.45,F3,0.6666666666666666,1.0,0.0
soft_weighting,5,0.45,F3,1.0,1.0,0.0
hard_only,5,0.45,F3,0.6666666666666666,0.7333333333333334,0.3333333333333333
full_system,5,0.45,F3,1.0,0.7333333333333334,0.3333333333333333
baseline,5,0.45,mix,1.0,1.0,0.0
soft_weighting,5,0.45,mix,1.0,1.0,0.0
hard_only,5,0.45,mix,1.0,0.7333333333333334,0.0
full_system,5,0.45,mix,0.6666666666666666,0.7333333333333334,0.0
baseline,7,0.0,F1,1.0,1.0,0.0
soft_weighting,7,0.0,F1,1.0,1.0,0.0
hard_only,7,0.0,F1,1.0,0.9047619047619048,0.0
full_system,7,0.0,F1,1.0,0.9047619047619048,0.0
baseline,7,0.0,F2,1.0,1.0,0.0
soft_weighting,7,0.0,F2,1.0,1.0,0.0
hard_only,7,0.0,F2,1.0,0.9047619047619048,0.0
full_system,7,0.0,F2,1.0,0.9047619047619048,0.0
baseline,7,0.0,F3,1.0,1.0,0.0
soft_weighting,7,0.0,F3,1.0,1.0,0.0
hard_only,7,0.0,F3,1.0,0.9047619047619048,0.0
full_system,7,0.0,F3,1.0,0.9047619047619048,0.0
baseline,7,0.0,mix,1.0,1.0,0.0
soft_weighting,7,0.0,mix,1.0,1.0,0.0
hard_only,7,0.0,mix,1.0,0.9047619047619048,0.0
full_system,7,0.0,mix,1.0,0.9047619047619048,0.0
baseline,7,0.15,F1,1.0,1.0,0.0
soft_weighting,7,0.15,F1,1.0,1.0,0.0
hard_only,7,0.15,F1,1.0,0.9047619047619048,0.3333333333333333
full_system,7,0.15,F1,1.0,0.9047619047619048,0.3333333333333333
baseline,7,0.15,F2,1.0,1.0,0.0
soft_weighting,7,0.15,F2,1.0,1.0,0.0
hard_only,7,0.15,F2,1.0,0.9047619047619048,0.0
full_system,7,0.15,F2,1.0,0.9047619047619048,0.0
baseline,7,0.15,F3,1.0,1.0,0.0
soft_weighting,7,0.15,F3,1.0,1.0,0.0
hard_only,7,0.15,F3,1.0,0.9047619047619048,0.3333333333333333
full_system,7,0.15,F3,1.0,0.9047619047619048,0.3333333333333333
baseline,7,0.15,mix,1.0,1.0,0.0
soft_weighting,7,0.15,mix,1.0,1.0,0.0
hard_only,7,0.15,mix,1.0,0.9047619047619048,0.3333333333333333
full_system,7,0.15,mix,1.0,0.9047619047619048,0.3333333333333333
baseline,7,0.3,F1,0.6666666666666666,1.0,0.0
soft_weighting,7,0.3,F1,1.0,1.0,0.0
hard_only,7,0.3,F1,0.6666666666666666,0.8095238095238096,0.3333333333333333
full_system,7,0.3,F1,1.0,0.8095238095238096,0.3333333333333333
baseline,7,0.3,F2,0.6666666666666666,1.0,0.0
soft_weighting,7,0.3,F2,1.0,1.0,0.0
hard_only,7,0.3,F2,0.6666666666666666,0.9047619047619048,0.0
full_system,7,0.3,F2,1.0,0.9047619047619048,0.0
baseline,7,0.3,F3,0.6666666666666666,1.0,0.0
soft_weighting,7,0.3,F3,1.0,1.0,0.0
hard_only,7,0.3,F3,0.6666666666666666,0.8095238095238096,0.3333333333333333
full_system,7,0.3,F3,1.0,0.8095238095238096,0.3333333333333333
baseline,7,0.3,mix,0.6666666666666666,1.0,0.0
soft_weighting,7,0.3,mix,1.0,1.0,0.0
hard_only,7,0.3,mix,0.6666666666666666,0.8095238095238096,0.3333333333333333
full_system,7,0.3,mix,1.0,0.8095238095238096,0.3333333333333333
baseline,7,0.45,F1,0.6666666666666666,1.0,0.0
soft_weighting,7,0.45,F1,1.0,1.0,0.0
hard_only,7,0.45,F1,0.6666666666666666,1.0,1.0
full_system,7,0.45,F1,1.0,1.0,1.0
baseline,7,0.45,F2,0.6666666666666666,1.0,0.0
soft_weighting,7,0.45,F2,1.0,1.0,0.0
hard_only,7,0.45,F2,0.6666666666666666,0.9523809523809524,0.0
full_system,7,0.45,F2,0.6666666666666666,0.9523809523809524,0.0
baseline,7,0.45,F3,0.6666666666666666,1.0,0.0
soft_weighting,7,0.45,F3,1.0,1.0,0.0
hard_only,7,0.45,F3,0.6666666666666666,1.0,1.0
full_system,7,0.45,F3,1.0,1.0,1.0
baseline,7,0.45,mix,0.6666666666666666,1.0,0.0
soft_weighting,7,0.45,mix,1.0,1.0,0.0
hard_only,7,0.45,mix,0.6666666666666666,0.8095238095238096,0.3333333333333333
full_system,7,0.45,mix,1.0,0.8095238095238096,0.3333333333333333
